smiles,group
s1c(cc(C(=O)N)c1Nc1nc(ccc1)C)-c1cccc(F)c1F,training
Fc1cc(N2[C@H]3C[C@H](N(C3)CC(C)C)C2)cc(F)c1C=1n2nc(c(c2N=CC=1)-c1c2c([nH]nc2)ccc1)-c1ccncc1,training
Fc1ccc(cc1)C(NC(=O)N1c2c(N(CCN3CCOCC3)C1=O)cccc2)C,training
S(=O)(=O)(NC(=O)[C@@]1(NC(=O)[C@H]2N(C[C@@](OC)(C2)c2ccc(cc2)-c2ccccc2)C(=O)[C@@H](NC(OC2CCCC2)=O)C(C)(C)C)C[C@H]1C=C)C1CC1,training
Fc1cc(ccc1Nc1n(c2c(CCC2=O)c1C(=O)NOCCO)C)C#C,training
Clc1cc(ccc1Cl)[C@]12[C@H](CCCC1)CN(C2)CC,training
S(=O)(=O)(N1CCC(n2c3c4cc[nH]c4ncc3nc2)CC1)c1ccccc1,training
s1c2cc(ccc2nc1C1Cc2cc(ccc2OC1)C(=O)NCCN(C)C)-c1cn[nH]c1,training
O(CCc1cc2c(nc1)N(c1nc(OC)ccc1N(C)C2=O)CC)c1ccc(cc1C)C(O)=O,training
S1c2c(nc(SCc3occc3)nc2N[C@@H](CO)C)NC1=O,training
FC=1C(=O)N(C=2N=CN(C[C@@H](O)CO)C(=O)C=2C=1Nc1ccc(cc1F)C#C)C,training
OC1=CC=C(NC2=CC=CC=C2)C=C1,training
O=C1N(c2ccccc2C)C(=Nc2c1c(ccc2)C)Cn1c2ncnc(N)c2nc1,training
FC(F)(F)c1cc2N(C(=O)C(c3cc(ccc3O)-c3cn(nc3)C)C(=O)N(c2cc1)CC)c1ccccc1,training
Fc1ccc(cc1)-c1onc(c1)C(=O)N1C[C@@H](NC(=O)[C@@H]1CC(C)C)c1ocnc1,training
CC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(OC2=CC=C(Cl)C=C2)C=C1,training
O=C(N[C@@H](C1CCCCC1)c1nnn(c1)C1(CC1)C#N)c1ccccc1,training
SC[C@H](C(=O)N1CCC[C@H]1C(O)=O)C,training
FC(F)(F)c1cnc(nc1NC)Nc1cnn(c1C)C1CCOCC1,training
Fc1ccc(cc1)C[C@@H](NC(=O)N1C[C@H](N[C@H](C1)C)C)C(=O)N1CCC(CC1)(C(=O)NC(C)(C)C)C1CCCCC1,training
