log_adj,smiles,group
1.435751987,s1c(cc(C(=O)N)c1Nc1nc(ccc1)C)-c1cccc(F)c1F,training
2.214673868,Fc1cc(N2[C@H]3C[C@H](N(C3)CC(C)C)C2)cc(F)c1C=1n2nc(c(c2N=CC=1)-c1c2c([nH]nc2)ccc1)-c1ccncc1,training
2.213070532,Fc1ccc(cc1)C(NC(=O)N1c2c(N(CCN3CCOCC3)C1=O)cccc2)C,training
1.117736284,S(=O)(=O)(NC(=O)[C@@]1(NC(=O)[C@H]2N(C[C@@](OC)(C2)c2ccc(cc2)-c2ccccc2)C(=O)[C@@H](NC(OC2CCCC2)=O)C(C)(C)C)C[C@H]1C=C)C1CC1,training
0.473152293,Fc1cc(ccc1Nc1n(c2c(CCC2=O)c1C(=O)NOCCO)C)C#C,training
1.219217177,Clc1cc(ccc1Cl)[C@]12[C@H](CCCC1)CN(C2)CC,training
1.001154447,S(=O)(=O)(N1CCC(n2c3c4cc[nH]c4ncc3nc2)CC1)c1ccccc1,training
0.942796216,s1c2cc(ccc2nc1C1Cc2cc(ccc2OC1)C(=O)NCCN(C)C)-c1cn[nH]c1,training
0.522651693,O(CCc1cc2c(nc1)N(c1nc(OC)ccc1N(C)C2=O)CC)c1ccc(cc1C)C(O)=O,training
1.467832871,S1c2c(nc(SCc3occc3)nc2N[C@@H](CO)C)NC1=O,training
0.826032132,FC=1C(=O)N(C=2N=CN(C[C@@H](O)CO)C(=O)C=2C=1Nc1ccc(cc1F)C#C)C,training
1.988019052,OC1=CC=C(NC2=CC=CC=C2)C=C1,training
1.112611945,O=C1N(c2ccccc2C)C(=Nc2c1c(ccc2)C)Cn1c2ncnc(N)c2nc1,training
1.467541722,FC(F)(F)c1cc2N(C(=O)C(c3cc(ccc3O)-c3cn(nc3)C)C(=O)N(c2cc1)CC)c1ccccc1,training
0.921584355,Fc1ccc(cc1)-c1onc(c1)C(=O)N1C[C@@H](NC(=O)[C@@H]1CC(C)C)c1ocnc1,training
1.849636202,CC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(OC2=CC=C(Cl)C=C2)C=C1,training
1.253635634,O=C(N[C@@H](C1CCCCC1)c1nnn(c1)C1(CC1)C#N)c1ccccc1,training
1.929146606,SC[C@H](C(=O)N1CCC[C@H]1C(O)=O)C,training
0.401098385,FC(F)(F)c1cnc(nc1NC)Nc1cnn(c1C)C1CCOCC1,training
1.333076636,Fc1ccc(cc1)C[C@@H](NC(=O)N1C[C@H](N[C@H](C1)C)C)C(=O)N1CCC(CC1)(C(=O)NC(C)(C)C)C1CCCCC1,training
2.077004809,O(CCCN1CCN(CC1)C)c1cc(ccc1)C(=O)N1CC(c2c([nH]c3c2cccc3)C(=C1)C(OC(C)C)=O)(C)C,training
0.040683052,Clc1cc(NS(=O)(=O)c2cc3CCC(=O)Nc3cc2F)ccc1F,training
0.122555202,Clc1ccc(cc1)-c1ccc(S(=O)(=O)C(CCN2C(=O)c3c(cccc3)C2=O)C(O)=O)cc1,training
0.613677389,Clc1cc2c(N=C(NC)C[N+]([O-])=C2c2ccccc2)cc1,training
2.0419666,O=C(NCCCC(c1ccccc1)c1ccccc1)c1cccnc1,training
1.144355291,S(=O)(=O)(c1cc2CC(N(S(=O)(=O)C)c2cc1)C)c1cc2OCCOc2cc1,training
0.551932469,CC1=C(CC2CCC3=C(C)C4=CC=CC=C4N3C2=O)NC=N1,training
0.942435128,O1C2(CCC(CC2)C(=O)N(CCN2CCCCC2)C)c2c(cc(OC)cc2)C1=O,training
2.407381229,CCC(=C(C1=CC=C(O)C=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,training
1.355432448,Clc1cc2c(cc1NC(=O)C(NC)c1ccccc1)C=CNC2=O,training
0.903302418,Ic1cc(F)c(Nc2c(F)c(F)c(cc2C(=O)NOCCO)CN2OCCOC2=O)cc1,training
1.370721702,NC1=CC=C(C=C1)N=NC1=CC=CC=C1,training
0.65605562,Clc1ccc(cc1)-c1n(c2c(ccc(c2)C(=O)NC(C(=O)Nc2ccc(cc2)\C=C\C(O)=O)(C)C)c1C1CCCCC1)C,training
1.876594825,FC(F)(F)c1cc(ccc1)CN1CCc2c(ccc(-n3cc(nc3)C)c2O)C1=O,training
2.06600913,Clc1cc(S(=O)(=O)\N=C(/NCC)\N2N=CCC2c2ccc(F)cc2)ccc1,training
1.623913794,S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C1=C(O)C(=NN(CCC(C)C)C1=O)CC(C)C)C,training
1.258694009,s1c(cnc1C)C(=O)N[C@H]1CCCCC\C=C/[C@@H]2C[C@]2(NC(=O)[C@H]2N(C[C@H](Oc3cc(OC(C)C)nc4c3ccc(OC)c4C)C2)C1=O)C(=O)NS(=O)(=O)C1CC1,training
0.957074083,S(=O)(=O)(Nc1cc2S(=O)(=O)C=C(Nc2cc1)C1=C(O)C(=NN(CCC(C)C)C1=O)c1ccccc1)C,training
